MatchRow,MatchOrder,MatchName,TossTeam,Comments,HomeTeamName,AwayTeamName,1Summary,FirstBattingTeamCode,FirstBattingTeamName,RevisedOver,RevisedTarget,2Summary,SecondBattingTeamCode,SecondBattingTeamName,GroundName,city,MATCH_COMMENCE_START_DATE,MatchTime,MatchEndDate,MatchEndTime,Winner
19,19th  T20,Chennai Super Kings VS Royal Challengers Bangalore,Royal Challengers Bangalore,Chennai Super Kings won by 69 runs,Chennai Super Kings,Royal Challengers Bangalore,191/4 (20 Overs),CSK,Chennai Super Kings,,,122/9 (20 Overs),RCB,Royal Challengers Bangalore,Wankhede Stadium,Mumbai,2021-04-25 15:30:00,15:30,25 Apr 2021,23:00,Chennai Super Kings
18,18th  T20,Rajasthan Royals VS Kolkata Knight Riders,Kolkata Knight Riders,Rajasthan Royals won by 6 wickets,Rajasthan Royals,Kolkata Knight Riders,133/9 (20 Overs),KKR,Kolkata Knight Riders,,,134/4 (18.5 Overs),RR,Rajasthan Royals,Wankhede Stadium,Mumbai,2021-04-24 19:30:00,19:30,24 Apr 2021,23:00,Rajasthan Royals
17,17th  T20,Punjab Kings VS Mumbai Indians,Mumbai Indians,Punjab Kings won by 9 wickets,Punjab Kings,Mumbai Indians,131/6 (20 Overs),MI,Mumbai Indians,,,132/1 (17.4 Overs),PBKS,Punjab Kings,M. A. Chidambaram Stadium,Chennai,2021-04-23 19:30:00,19:30,23 Apr 2021,23:00,Punjab Kings
16,16th  T20,Royal Challengers Bangalore VS Rajasthan Royals,Rajasthan Royals,Royal Challengers Bangalore won by 10 wickets,Royal Challengers Bangalore,Rajasthan Royals,177/9 (20 Overs),RR,Rajasthan Royals,,,181/0 (16.3 Overs),RCB,Royal Challengers Bangalore,Wankhede Stadium,Mumbai,2021-04-22 19:30:00,19:30,22 Apr 2021,23:00,Royal Challengers Bangalore
15,15th  T20,Kolkata Knight Riders VS Chennai Super Kings,Chennai Super Kings,Chennai Super Kings won by 18 runs,Kolkata Knight Riders,Chennai Super Kings,220/3 (20 Overs),CSK,Chennai Super Kings,,,202/10 (19.1 Overs),KKR,Kolkata Knight Riders,Wankhede Stadium,Mumbai,2021-04-21 19:30:00,19:30,21 Apr 2021,23:00,Chennai Super Kings
14,14th  T20,Punjab Kings VS Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad won by 9 wickets,Punjab Kings,Sunrisers Hyderabad,120/10 (19.4 Overs),PBKS,Punjab Kings,,,121/1 (18.4 Overs),SRH,Sunrisers Hyderabad,M. A. Chidambaram Stadium,Chennai,2021-04-21 15:30:00,15:30,21 Apr 2021,23:00,Sunrisers Hyderabad
13,13th  T20,Delhi Capitals VS Mumbai Indians,Mumbai Indians,Delhi Capitals won by 6 wickets,Delhi Capitals,Mumbai Indians,137/9 (20 Overs),MI,Mumbai Indians,,,138/4 (19.1 Overs),DC,Delhi Capitals,M. A. Chidambaram Stadium,Chennai,2021-04-20 19:30:00,19:30,20 Apr 2021,23:00,Delhi Capitals
12,12th  T20,Chennai Super Kings VS Rajasthan Royals,Rajasthan Royals,Chennai Super Kings won by 45 runs,Chennai Super Kings,Rajasthan Royals,188/9 (20 Overs),CSK,Chennai Super Kings,,,143/9 (20 Overs),RR,Rajasthan Royals,Wankhede Stadium,Mumbai,2021-04-19 19:30:00,19:30,19 Apr 2021,23:00,Chennai Super Kings
11,11th  T20,Delhi Capitals VS Punjab Kings,Punjab Kings,Delhi Capitals won by 6 wickets,Delhi Capitals,Punjab Kings,195/4 (20 Overs),PBKS,Punjab Kings,,,198/4 (18.2 Overs),DC,Delhi Capitals,Wankhede Stadium,Mumbai,2021-04-18 19:30:00,19:30,18 Apr 2021,23:00,Delhi Capitals
10,10th  T20,Royal Challengers Bangalore VS Kolkata Knight Riders,Kolkata Knight Riders,Royal Challengers Bangalore won by 38 runs,Royal Challengers Bangalore,Kolkata Knight Riders,204/4 (20 Overs),RCB,Royal Challengers Bangalore,,,166/8 (20 Overs),KKR,Kolkata Knight Riders,M. A. Chidambaram Stadium,Chennai,2021-04-18 15:30:00,15:30,18 Apr 2021,23:00,Royal Challengers Bangalore
9,9th  T20,Mumbai Indians VS Sunrisers Hyderabad,Sunrisers Hyderabad,Mumbai Indians won by 13 runs,Mumbai Indians,Sunrisers Hyderabad,150/5 (20 Overs),MI,Mumbai Indians,,,137/10 (19.4 Overs),SRH,Sunrisers Hyderabad,M. A. Chidambaram Stadium,Chennai,2021-04-17 19:30:00,19:30,17 Apr 2021,23:00,Mumbai Indians
8,8th  T20,Punjab Kings VS Chennai Super Kings,Chennai Super Kings,Chennai Super Kings won by 6 wickets,Punjab Kings,Chennai Super Kings,106/8 (20 Overs),PBKS,Punjab Kings,,,107/4 (15.4 Overs),CSK,Chennai Super Kings,Wankhede Stadium,Mumbai,2021-04-16 19:30:00,19:30,16 Apr 2021,23:00,Chennai Super Kings
7,7th  T20,Rajasthan Royals VS Delhi Capitals,Delhi Capitals,Rajasthan Royals won by 3 wickets,Rajasthan Royals,Delhi Capitals,147/8 (20 Overs),DC,Delhi Capitals,,,150/7 (19.4 Overs),RR,Rajasthan Royals,Wankhede Stadium,Mumbai,2021-04-15 19:30:00,19:30,15 Apr 2021,23:00,Rajasthan Royals
6,6th  T20,Sunrisers Hyderabad VS Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore won by 6 runs,Sunrisers Hyderabad,Royal Challengers Bangalore,149/8 (20 Overs),RCB,Royal Challengers Bangalore,,,143/9 (20 Overs),SRH,Sunrisers Hyderabad,M. A. Chidambaram Stadium,Chennai,2021-04-14 19:30:00,19:30,14 Apr 2021,23:00,Royal Challengers Bangalore
5,5th  T20,Kolkata Knight Riders VS Mumbai Indians,Mumbai Indians,Mumbai Indians won by 10 runs,Kolkata Knight Riders,Mumbai Indians,152/10 (20 Overs),MI,Mumbai Indians,,,142/7 (20 Overs),KKR,Kolkata Knight Riders,M. A. Chidambaram Stadium,Chennai,2021-04-13 19:30:00,19:30,13 Apr 2021,23:00,Mumbai Indians
4,4th  T20,Rajasthan Royals VS Punjab Kings,Punjab Kings,Punjab Kings won by 4 runs,Rajasthan Royals,Punjab Kings,221/6 (20 Overs),PBKS,Punjab Kings,,,217/7 (20 Overs),RR,Rajasthan Royals,Wankhede Stadium,Mumbai,2021-04-12 19:30:00,19:30,12 Apr 2021,23:00,Punjab Kings
3,3rd  T20,Sunrisers Hyderabad VS Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders won by 10 runs,Sunrisers Hyderabad,Kolkata Knight Riders,187/6 (20 Overs),KKR,Kolkata Knight Riders,,,177/5 (20 Overs),SRH,Sunrisers Hyderabad,M. A. Chidambaram Stadium,Chennai,2021-04-11 19:30:00,19:30,11 Apr 2021,23:00,Kolkata Knight Riders
2,2nd  T20,Chennai Super Kings VS Delhi Capitals,Delhi Capitals,Delhi Capitals won by 7 wickets,Chennai Super Kings,Delhi Capitals,188/7 (20 Overs),CSK,Chennai Super Kings,,,190/3 (18.4 Overs),DC,Delhi Capitals,Wankhede Stadium,Mumbai,2021-04-10 19:30:00,19:30,10 Apr 2021,23:00,Delhi Capitals
1,1st T20,Mumbai Indians VS Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore won by 2 wickets,Mumbai Indians,Royal Challengers Bangalore,159/9 (20 Overs),MI,Mumbai Indians,,,160/8 (20 Overs),RCB,Royal Challengers Bangalore,M. A. Chidambaram Stadium,Chennai,2021-04-09 19:30:00,19:30,9 Apr 2021,23:00,Royal Challengers Bangalore
