BowlerName,RightHandedBat,Nationality,TeamCode,TeamName,Matches,CompetitionID,Innings,TeamID,BowlerID,LegalBallsBowled,TotalRunsConceded,DotBallsBowled,DotBallPercent,ScoringBallsBowled,BowlingAverage,StrikeRate,BowlingSR,BoundaryPercentage,BoundaryFrequency,EconomyRate,OversBowled,Ones,Twos,Threes,Fours,Sixes,Wides,NoBalls,Byes,LegBye,Wickets,InningsWickets,MatchRuns,MatchWickets,BBIW,BBMW,Maidens,MaidenWickets,FourWickets,FiveWickets,TenWickets,Hattricks
Doug Bollinger,,,CSK,Chennai Super Kings,27,,27,,0,,693,254,,,18.73,15.57,15.57,,,7.22,96,,,,1,1,,,,,37,,,,4/13,4/13,3,,1,0,,0
Lockie Ferguson,,,KKR,Kolkata Knight Riders,38,,38,16,69,,1171,326,,,31.65,21.92,21.92,,,8.66,134,,,,58,27,,,,,37,,,,4/28,4/28,1,,1,0,,0
Yuvraj Singh,,,MI,Mumbai Indians,132,,73,,175,,1077,260,,,29.92,24.14,24.14,,,7.44,144,,,,217,149,,,,,36,,,,4/29,4/29,0,,2,0,,2
Mitchell Marsh,,,DC,Delhi Capitals,38,,31,14,40,,692,174,,,19.22,14.22,14.22,,,8.11,84,,,,30,23,,,,,36,,,,4/25,4/25,1,,2,0,,0
Washington Sundar,,,SRH,Sunrisers Hyderabad,58,,56,20,20,,1252,359,,,34.78,28.44,28.44,,,7.34,170,,,,43,25,,,,,36,,,,3/16,3/16,1,,0,0,,0
Josh Hazlewood,,,RCB,Royal Challengers Bangalore,27,,27,19,36,,810,270,,,23.14,17.23,17.23,,,8.06,100,,,,44,21,,,,,35,,,,4/25,4/25,1,,1,0,,0
Murugan Ashwin,,,RR,Rajasthan Royals,44,,44,18,135,,1162,295,,,33.20,24.86,24.86,,,8.01,144,,,,18,17,,,,,35,,,,3/21,3/21,0,,0,0,,0
Wayne Parnell,,,RCB,Royal Challengers Bangalore,33,,33,19,829,,937,298,,,26.77,20.66,20.66,,,7.78,120,,,,26,14,,,,,35,,,,3/10,3/10,1,,0,0,,0
Wanindu Hasaranga,,,RCB,Royal Challengers Bangalore,26,,26,19,377,,748,209,,,21.37,15.77,15.77,,,8.13,92,,,,40,45,,,,,35,,,,5/18,5/18,1,,1,1,,0
Pawan Negi,,,RCB,Royal Challengers Bangalore,50,,42,,208,,939,238,,,27.62,21.06,21.06,,,7.87,119,,,,27,16,,,,,34,,,,4/18,4/18,0,,1,0,,0
Mitchell Starc,,,RCB,Royal Challengers Bangalore,27,,26,,31,,693,232,,,20.38,17.06,17.06,,,7.17,96,,,,10,0,,,,,34,,,,4/15,4/15,1,,1,0,,0
Kevon Cooper,,,RR,Rajasthan Royals,25,,25,,0,,757,184,,,22.94,17.45,17.45,,,7.89,96,,,,9,8,,,,,33,,,,4/26,4/26,1,,1,0,,0
Moeen Ali,,,CSK,Chennai Super Kings,59,,48,13,206,,822,261,,,24.91,21.52,21.52,,,6.95,117,,,,67,63,,,,,33,,,,4/26,4/26,0,,1,0,,0
